# Lexicon targets — 1230 unique lemmas, sorted by frequency.
# Each line: <lemma> <count> [most-common-surface-form]
cash	116
income	64
net	43
balance	36
inventory	36
statement	34
year	34
total	33
pitfall	31
operating	30
entry	29
equity	29
sale	26  # appears as: sales
earning	24  # appears as: earnings
step	24
dividend	23  # appears as: dividends
debt	22
cost	21
profit	21
part	20
retained	20
credit	19
note	19  # appears as: notes
payable	19
equipment	19
lease	18  # appears as: leases
book	18  # appears as: books
margin	18
first	17
company	17
wage	17  # appears as: wages
current	17
prepaid	16
gross	16
month	16  # appears as: months
dec	16
side	15
debit	15
ratio	15
flow	15
paid	15
period	15
accrued	15
ranger	15
accrual	14
sheet	14
capital	14
receivable	14
rate	14
method	13
common	13
stock	13
increase	13
interest	13
accounting	12
matter	12  # appears as: matters
earned	12
firm	12  # appears as: firms
customer	12
jan	12
tax	12
financing	12
ledger	11
business	11
ending	11
example	10
journal	10
transaction	10
rent	10
december	10
summary	10
coffee	10
investing	10
salvage	10
unit	10  # appears as: units
leverage	10
time	9
basi	9  # appears as: basis
full	9
read	9
now	9
pay	9
section	9
equation	8
slide	8  # appears as: slides
trial	8
adjusting	8
matching	8
last	8
long-term	8
use	8
value	8
day	8  # appears as: days
tie	8  # appears as: ties
later	8
insurance	8
price	8
line	8
risk	8
start	7  # appears as: starts
allowance	7
don't	7
right	7
end	7
error	7
rule	7  # appears as: rules
show	7
used	7
move	7
top	7
point	7
life	7
supplier	7
working	7
estimate	7
ccc	7
caf	7
growth	7
closing	6
indirect	6
choice	6  # appears as: choices
number	6
term	6  # appears as: terms
owner	6  # appears as: owners
wrong	6
bank	6
lower	6
single	6
operation	6  # appears as: operations
unearned	6
tell	6
contract	6
january	6
recognized	6
close	6
less	6
obligation	6  # appears as: obligations
useful	6
change	6  # appears as: changes
mean	6  # appears as: means
wholesale	6
farsi	5
worked	5
end-to-end	5
type	5
bad	5
dupont	5
standard	5
annual	5
report	5
everything	5
worth	5
left	5
hold	5  # appears as: holds
year-end	5
service	5
benefit	5
small	5
pattern	5
good	5  # appears as: goods
negative	5
sit	5  # appears as: sits
transfer	5
check	5
adjustment	5
purchase	5
software	5
event	5
incurred	5
new	5
policy	5  # appears as: policies
payment	5
principle	5  # appears as: principles
next	5
judgment	5
performance	5
selling	5
sold	5
higher	5
real	5
deck	4
concept	4
make	4
carry	4
english	4
callout	4
chart	4
timing	4
deferral	4  # appears as: deferrals
case	4
profitability	4
problem	4
set	4  # appears as: sets
layer	4  # appears as: layers
mechanic	4  # appears as: mechanics
idea	4
follow	4
control	4
exactly	4
owe	4  # appears as: owes
identity	4
loan	4
directly	4
never	4
permanent	4
temporary	4
zero	4
look	4
future	4
acc	4
return	4  # appears as: returns
financial	4
period-end	4
doesn't	4
retail	4
fixed	4
narrative	4
equal	4
deferred	4
consumed	4
hit	4  # appears as: hits
balance-sheet	4
different	4
february	4
subscription	4  # appears as: subscriptions
utility	4  # appears as: utilities
